# INDICE GENERALE PLAYLIST
# Formato: ID_Playlist,Nome_Playlist
19916d86,aa
398a776c,Genere: Elettronica
baec6c1a,Tag: MALINCONIA
2c5c7d49,Tag: UNDERGROUND
8c6d3d68,Tag: CONCENTRAZIONE
0acc7c6c,bbb
3c915fb5,Genere: Pop
45e90b2c,Genere: R&B
2fc4efa7,Anni 90
48e664ac,Tag: NUOVA_USCITA
137fd7a1,Tag: VINTAGE
a0ba3fe4,Anni 00
bf6e0f67,Tag: MACCHINA
dd58bd2f,Genere: Classica
5a559f6d,Tag: ENERGIA
6268aa7b,Genere: Hip Hop
a7bea756,Anni 80
c2ca718b,Tag: RELAX
80cd9bbd,Anni 20
6a8ad5e4,Genere: Rock
7a9277f2,Anni 10
